industria_io,tipo,anno,K_corrente,K_2012,I_corrente,I_2012,D_corrente,D_2012,K_inizio_2012,altre_variazioni_2012,delta,altre_variazioni_rel
3364OT,N,2015,63165,61026.27226,17487,16764.09819,16392,15744.77663,60009.21882,-2.268117246,0.2623726311,-3.779614683e-05
3364OT,N,2016,67244,63834.6089,19521,18949.03112,16575,16136.85009,61026.27226,-3.844386625,0.2644246403,-6.299559981e-05
3364OT,S,2011,54436,55131.53927,1528,1562.360292,1673,1715.215426,,,,
3364OT,S,2012,54736,54736,1335,1335,1706,1706,55131.53927,-24.53927025,0.03094417501,-0.000445104029
3364OT,S,2013,56767,54601.04253,1602,1567.136889,1737,1696.014724,54736,-6.079631757,0.03098536108,-0.0001110719044
3364OT,S,2014,57796,54431.36773,1612,1528.071828,1788,1691.17574,54601.04253,-6.570887998,0.03097332324,-0.0001203436362
3364OT,S,2015,58918,54569.59572,1973,1832.477908,1821,1690.043679,54431.36773,-4.20624068,0.0310490761,-7.727604238e-05
3364OT,S,2016,59587,54853.87351,2155,1985.048852,1840,1695.510309,54569.59572,-5.260753681,0.03107060418,-9.640448333e-05
337,E,2011,8794,8883.094812,961,970.9167872,1264,1277.838959,,,,
337,E,2012,8832,8832,1215,1215,1262,1262,8883.094812,-4.094811854,0.1420676044,-0.0004609668073
337,E,2013,8690,8694.15845,1132,1127.444849,1264,1256.86734,8832,-8.419058826,0.1423083492,-0.0009532448852
337,E,2014,8577,8557.109742,1109,1102.532381,1252,1239.482596,8694.15845,-0.09849211815,0.1425649882,-1.132853958e-05
337,E,2015,8714,8758.884159,1443,1440.263364,1249,1238.69999,8557.109742,0.2110429735,0.1447568194,2.466288032e-05
337,E,2016,8989,9023.785162,1538,1537.108093,1276,1269.541107,8758.884159,-2.665983575,0.1449432466,-0.0003043747955
337,N,2011,2276,2293.837685,620,624.5671786,543,544.4447638,,,,
337,N,2012,2429,2429,716,716,579,579,2293.837685,-1.837684556,0.2524154189,-0.0008011397528
