anno,produzione_lorda,consumo_privato,consumo_pubblico_e_inv_pubblici,investimento_E,investimento_S,investimento_N,investimento_R,investimento_totale_FA,domanda_di_prodotti_per_investimento,ammortamento,investimento_netto,variazione_scorte,esportazioni,importazioni,residuo_materiale,gamma,prodotto_finale_lordo,prodotto_netto,surplus_economico
2012,29838.99019,11065.391,3142.018,832.579441,190.9271998,178.8546783,818.3570415,2020.718361,2119.377607,2094.259456,-73.54109515,712.9038333,1789.203,2359.7,0,1,16469.19344,14374.93398,3309.542985
2013,29840.36457,11065.391,3066.668636,674.9230085,1202.866732,153.4436323,1106.729564,3137.962937,3259.202566,1981.310714,1156.652223,-200.7807599,1813.000954,2314.001983,0,1,16689.48041,14708.1697,3642.778699
2014,31595.62833,11065.391,3043.148649,2117.771275,609.6743148,491.2653511,25.76894809,3244.479889,3353.717043,1965.592391,1278.887498,552.655493,1861.772477,2400.943252,0,1,17475.74141,15510.14902,4444.758018
2015,30951.44386,11065.391,3099.013496,604.7416564,0,4876.122743,0,5480.864399,5335.822114,2397.276373,3083.588027,-782.8543656,1786.331162,2310.525962,0,1,18193.17744,15795.90107,4730.510071
2016,32715.48772,11065.391,3153.230443,119.9499859,0,4991.608432,0,5111.558418,4949.460672,4486.017143,625.5412751,-210.1830283,1792.891133,1966.787419,319.0199369,1,19103.02274,14617.00559,3551.614593
