,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N
111CA,65146.54342,0,0,0,0,-1369.554174,42855.06928,-37372.02341,0,0,0,0,0,0,0,0,0,0,0,0
113FF,5708.911271,0,0,0,0,553.6882494,6657.419664,-16877.6211,0,0,0,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,2701.403515,22964.76352,-261032.0879,0,0,0,0,0,0,0,0,0,0,0,0
212,633.9401996,0,421.9092669,0,0,1045.086475,20930.78958,-7139.092264,0,0,0,0,0,0,0,0,0,0,0,0
213,0,174100.055,4082.640118,0,0,5.786874724,3832.840026,-1222.959525,0,0,0,0,0,0,0,0,0,0,0,0
22,243442.0925,0,0,0,0,0,3659.264292,-2704.358482,0,0,0,0,0,0,0,0,0,0,0,0
23,0,352862.3459,0,0,396103.2894,0,92.35087981,0,0,6515.448806,0,0,0,11517.47401,0,0,0,247909.3404,0,0
321,4551.195687,362.2755267,0,0,3102.968642,1183.958424,5054.356141,-15563.84666,0,0,0,0,0,0,114.6330773,0,0,0,0,0
327,11019.56455,0,0,0,0,982.9304568,8554.227954,-22674.3114,0,0,0,0,0,0,0,0,0,0,0,0
331,552.619548,0,0,0,0,3806.468613,37098.91269,-93216.53647,0,0,0,0,0,0,0,0,0,0,0,0
332,15511.16539,0,13724.03297,0,0,4458.954584,34234.63229,-62917.51599,0,0,1311.747312,0,0,0,1398.539615,0,0,0,475.385116,0
333,6171.054053,0,236521.2557,0,0,6392.727995,111568.7852,-150006.4659,0,0,868.3036056,0,0,0,372.6832644,0,0,0,6420.800241,0
334,78489.56911,0,188065.6433,0,273.5365648,1376.937821,105733.194,-326988.2833,0,0,18141.84991,0,0,0,8335.666896,0,0,0,12178.54713,0
335,40458.99501,0,29047.07313,0,5760.989496,1676.870163,32444.8363,-90140.77591,0,0,527.2736132,0,0,0,776.4028915,0,0,0,1107.574743,0
3361MV,194486.1595,0,236981.8923,0,0,10303.98692,108581.6823,-296128.5621,0,0,7635.561259,0,0,0,566.8320585,0,0,0,13758.91658,0
3364OT,17825.06114,0,63396.20401,0,0,3717.837254,119345.0971,-56517.13842,0,0,34791.93606,0,0,0,1941.343292,0,0,0,599.2758016,0
