,x_reale,q_reale
111CA,426959.1743,420337.2311
113FF,53003.29593,60871.86571
211,426753.7306,342984.7363
212,122462.4409,103350.5496
213,159707.2121,201522.1254
22,472161.0722,597654.1648
23,1191792.556,1274191.475
311FT,910557.7956,912294.0193
313TT,53968.59719,50778.31272
315AL,18157.84282,18649.13657
321,84868.16984,82916.46748
322,178583.728,176651.4997
323,81533.38845,66446.82921
324,834613.092,834214.8137
325,810591.7251,772044.5696
326,224507.892,220448.3339
327,107069.5856,103020.159
331,278401.8351,274626.7486
332,355583.3421,341291.0074
333,398152.7264,382307.2047
334,354721.3471,301045.4996
335,127390.7201,123403.0364
3361MV,587203.5562,569876.0839
3364OT,311534.9482,287390.5652
337,67442.60484,64918.58298
339,160476.4343,146954.8985
42,1802327.272,1813567.971
441,271641.1199,208048.6135
445,209968.0384,194597.6623
452,219192.9247,210343.6514
481,210676.4134,207585.1512
482,84813.09337,82608.34734
483,52985.47068,51582.24333
484,326487.1626,312358.2235
485,60860.70485,76602.70467
486,39105.3764,42494.68722
487OS,200421.8243,219665.2341
493,112357.3748,116722.9163
4A0,827123.8123,813857.1982
511,327290.2762,243620.3951
512,138257.2914,137226.905
513,792944.715,679625.8266
514,260424.4569,213257.0651
521CI,794900.7774,730335.7354
523,466014.2255,467750.3146
524,884577.4773,890233.5058
525,137513.82,159388.9027
532RL,334137.7749,416503.3617
5411,295083.6616,294847.4541
5412OP,1185159.305,1714159.512
5415,399295.1331,460970.9935
55,519425.8455,505545.0907
561,737264.2375,718882.4709
562,90389.7978,105661.5177
61,315283.236,336584.3642
621,892274.0288,917860.2819
622,719877.4351,879114.3369
623,216283.9925,216832.3398
624,177665.1074,178916.4429
711AS,156867.9416,146272.4319
713,125839.0589,178621.2266
721,233392.097,191725.4324
722,650104.7981,765417.3763
81,602076.4871,741010.0962
GFE,91019.68091,68628.66649
GFGD,611150.7441,585139.997
GFGN,361275.454,339576.6406
GSLE,302067.6769,88715.79397
GSLG,1974686.571,1525643.361
HS,1738811.048,1731293.93
ORE,1008825.7,1035975.811
Other,,3023.533877
Used,,7753.620047
