famiglia,vincoli_con_duale_non_nullo
accumulazione,682
banda_import,346
bilancio,349
capacita,149
import_totale,2
lavoro,4
quote,355
scorte,55
scorte_massime,13
scorte_minime,25
terminale_scorte,8
