industria_io,anno,x_corrente_use,x_corrente_make,indice_prezzo_2012,x_2012,fte_migliaia
525,2009,99868,99868,0.86355792,115625.823,6
HS,2009,1616902,1616901,0.9656155808,1674749.924,
ORE,2009,756470,756470,0.994208259,761131.8326,1319
532RL,2009,250998,250997,0.95905852,261822.0431,526
5411,2009,279878,279878,0.9044644841,309384.714,1078
5415,2009,279673,279673,1.03008498,273532.6005,1339
5412OP,2009,1000199,1000198,0.9628354614,1038291.636,4729
55,2009,400243,400243,0.9714144151,411582.7153,1798
561,2009,559026,559028,0.9787780511,571021.1476,6277
562,2009,74828,74828,0.9327826673,80232.15522,337
61,2009,273515,273514,0.9276986311,292965.0552,2807
621,2009,773545,773545,0.9530141384,811469.0575,5216
622,2009,611070,611071,0.9447165395,646510.6882,4393
623,2009,186613,186612,0.9481790717,196806.9536,2787
624,2009,153539,153538,0.9399029614,163325.9061,2253
711AS,2009,133261,133261,0.9585668061,139076.5291,441
713,2009,110875,110876,0.9409816715,117788.7606,1160
721,2009,181943,181941,0.9481147349,192348.6219,1570
722,2009,529055,529055,0.9394867259,563073.5264,7328
81,2009,521374,521375,0.9351121022,557238.6361,5695
GFGD,2009,637328,637326,0.9370493244,679372.3181,1585
GFGN,2009,344427,344427,0.9380334437,366600.8863,2075
GFE,2009,99021,99021,0.9484767448,103734.3525,679
GSLG,2009,1891275,1891275,0.9169517952,2051877.443,15145
GSLE,2009,256445,256445,0.9114287309,269055.7347,1124
111CA,2010,320921,320921,0.7790065478,410635.968,647
113FF,2010,45657,45656,0.9518332757,47972.30405,453
211,2010,304698,304699,1.025573736,310250.4248,157
212,2010,112694,112694,0.9176817235,122551.9868,202
213,2010,82696,82695,0.9156528792,90078.69719,283
22,2010,494491,494490,1.021976502,484350.2015,546
23,2010,1016645,1016646,0.9476282683,1072812.018,5401
321,2010,71882,71882,0.9692727147,74191.56597,333
327,2010,92358,92359,0.9644094126,95877.25762,357
331,2010,235713,235712,0.9370981016,252471.5087,353
332,2010,295614,295613,0.9523638748,310341.9818,1249
333,2010,318653,318652,0.9544396373,333621.5223,975
334,2010,358821,358821,1.039559908,349112.8872,1079
335,2010,108566,108566,0.9526884081,113750.6109,351
3361MV,2010,434589,434589,0.9656145539,450373.889,666
3364OT,2010,249000,249000,0.9625550195,258369.358,645
337,2010,57265,57266,0.9564256192,59880.56791,345
339,2010,159760,159761,0.9639073984,165570.78,547
311FT,2010,800312,800312,0.8863792742,901963.0011,1561
313TT,2010,49824,49824,0.9186494194,54222.48795,230
315AL,2010,23271,23272,0.9528079681,24453.83947,179
322,2010,169410,169410,0.9641862401,175769.5379,382
323,2010,83797,83798,0.9826543538,85583.33584,472
324,2010,607722,607723,0.755336822,794896.2343,109
325,2010,715698,715698,0.9011130051,789840.828,775
326,2010,186613,186613,0.9166118624,203114.3406,615
42,2010,1359202,1359201,0.9490128774,1431256.907,5281
441,2010,196860,196862,0.9707206805,203930.149,1406
445,2010,197147,197146,0.914237829,215200.0665,2421
452,2010,215065,215066,0.9282108523,231479.0434,2552
4A0,2010,690602,690599,0.9711662802,711876.9266,6072
481,2010,163474,163474,0.8914273409,183204.0915,424
482,2010,66432,66432,0.8861034408,74831.33139,175
483,2010,46856,46856,0.9943590721,47295.4469,60
484,2010,251530,251529,0.9154074196,274247.1601,1197
485,2010,45117,45117,0.9373196729,48136.93776,406
486,2010,31190,31190,0.938540509,33196.77558,40
487OS,2010,165672,165670,0.9086324824,182034.7979,1032
493,2010,88470,88470,1.040245015,85265.49403,595
511,2010,289213,289214,1.013725471,288887.6666,690
512,2010,129789,129790,0.9808039862,132338.888,309
513,2010,687333,687333,0.9961144337,692578.3474,1163
514,2010,162532,162531,0.9956328426,163969.0117,350
521CI,2010,691886,691887,0.95831792,723189.8399,2478
523,2010,454391,454390,0.9126495426,496457.9255,816
524,2010,662341,662341,0.9744802412,679690.766,2208
525,2010,108975,108975,0.9180800038,118688.7055,5
HS,2010,1650919,1650918,0.965928588,1709351.405,
ORE,2010,803416,803416,0.9874309255,813739.7603,1302
532RL,2010,268528,268529,0.9686309841,277314.9204,486
5411,2010,285996,285996,0.9357989169,305593.7754,1071
5415,2010,305031,305032,1.006558544,304028.0435,1380
5412OP,2010,1026944,1026944,0.9730458508,1055164.244,4706
55,2010,422166,422166,0.981981071,429752.56,1793
561,2010,589676,589679,0.9796922273,601835.638,6485
562,2010,82438,82436,0.9577393244,86068.60898,342
61,2010,292898,292898,0.9475255355,308004.095,2870
621,2010,803348,803349,0.9729802728,825683.4837,5368
622,2010,636902,636904,0.9634513696,660925.4589,4398
623,2010,195744,195743,0.9654160945,202752.989,2838
624,2010,162751,162751,0.9570129943,170038.702,2299
711AS,2010,134046,134046,0.9711827908,138133.1143,440
713,2010,111863,111861,0.9489491459,117744.059,1156
721,2010,185670,185670,0.9517099695,195039.7039,1559
722,2010,547649,547650,0.9534356253,574408.2853,7320
81,2010,534811,534810,0.9543201563,560250.2366,5551
GFGD,2010,675588,675587,0.9597911063,703482.6768,1599
GFGN,2010,373781,373779,0.9670789061,386343.0023,2181
GFE,2010,98495,98493,0.9837449531,99908.79426,620
GSLG,2010,1916857,1916855,0.9478323011,2017489.888,15038
GSLE,2010,273208,273207,0.9409301547,280159.9134,1126
111CA,2011,380318,380317,0.9534077328,398703.2071,654
113FF,2011,49175,49175,0.9864990488,49856.70241,459
211,2011,372941,372940,1.141069736,338943.3348,168
212,2011,130883,130883,1.004635452,131120.2909,210
213,2011,97964,97965,0.9588870173,102007.5197,336
22,2011,484909,484909,1.041888383,465824.9772,545
23,2011,1020455,1020456,0.9755183386,1046056.824,5378
321,2011,72932,72930,0.969054138,75243.90211,326
327,2011,94064,94063,0.9763074622,96302.91717,357
331,2011,281516,281517,1.042009967,271479.7559,382
332,2011,326856,326856,0.9861671824,331411.0827,1312
333,2011,369090,369090,0.9781446324,377035.3514,1037
334,2011,361656,361656,1.0181324,357125.8249,1090
335,2011,117832,117832,0.9810993134,120000.1713,358
3361MV,2011,498767,498766,0.9802351373,508659.353,708
3364OT,2011,258701,258702,0.9833248688,262964.8768,654
337,2011,57257,57256,0.9747418111,58732.63825,345
339,2011,162116,162117,0.9869850411,164229.5121,551
