industria_io,anno,x_corrente_use,x_corrente_make,indice_prezzo_2012,x_2012,fte_migliaia
511,2015,328775,328775,0.9802708416,331286.9921,671
512,2015,143584,143585,0.9879616488,145215.2306,349
513,2015,824598,824598,0.9782960649,835600.1965,1064
514,2015,290519,290520,0.9980733129,287787.7374,492
521CI,2015,906241,906241,1.147175395,796987.1293,2518
523,2015,542087,542087,1.190032171,457051.3089,883
524,2015,963323,963325,1.043464,923249.6697,2490
525,2015,165114,165114,1.10433106,149522.8717,7
HS,2015,1885048,1885049,1.084233712,1738697.539,
ORE,2015,1148792,1148792,1.063376928,1080250.361,1429
532RL,2015,336060,336058,1.015387608,330832.4745,527
5411,2015,329038,329038,1.106483268,297423.745,1077
5415,2015,401552,401552,0.9638249431,414313.1013,1821
5412OP,2015,1264104,1264104,1.041662226,1215558.175,5375
55,2015,542310,542310,1.010870005,536854.2537,2071
561,2015,809240,809240,1.049506998,772105.7593,7795
562,2015,96436,96435,1.048201685,92133.27874,387
61,2015,339696,339695,1.067389198,319072.9495,3153
621,2015,958671,958671,1.018584503,940920.1437,6189
622,2015,789410,789410,1.047785194,753697.788,4630
623,2015,231036,231034,1.044240593,221231.1618,2978
624,2015,195411,195412,1.061692042,184103.2362,3104
711AS,2015,174088,174087,1.07294497,162559.7135,509
713,2015,137533,137534,1.058854389,129711.5215,1292
721,2015,258602,258602,1.069593471,241809.8771,1753
722,2015,739288,739287,1.07937264,684976.4838,8813
81,2015,650679,650679,1.060858622,613608.12,5993
GFGD,2015,610655,610654,1.022658057,596782.0889,1474
GFGN,2015,389942,389943,1.049936858,371763.3928,2102
GFE,2015,98133,98133,1.074290808,91984.70896,562
GSLG,2015,2140227,2140230,1.05531855,2029242.764,14790
GSLE,2015,332302,332302,1.068282061,313484.584,1066
111CA,2016,379793,379793,0.8194802134,461597.7536,703
113FF,2016,51122,51122,1.062067624,48120.54667,516
211,2016,199796,199796,0.5310642359,363165.8128,172
212,2016,94841,94841,0.8493707719,107043.4337,177
213,2016,73078,73079,1.01841454,71532.34164,251
22,2016,470474,470474,1.02147631,460032.7092,549
23,2016,1508615,1508615,1.095107065,1377646.28,6640
321,2016,103209,103210,1.113809447,92851.85132,381
327,2016,124845,124847,1.122236925,111813.9082,396
331,2016,204420,204418,0.8188642386,249889.7303,365
332,2016,342933,342932,1.008279197,340200.0873,1386
333,2016,357716,357716,1.051693897,340633.2211,1056
334,2016,347519,347521,0.9335300469,365153.1145,1033
335,2016,122968,122969,0.9827758263,124947.6687,376
3361MV,2016,626080,626080,1.030688646,607153.2051,934
3364OT,2016,301603,301603,1.046703064,288304.3838,674
337,2016,75824,75824,1.050559098,72178.26789,380
339,2016,157793,157792,1.02889903,153122.97,571
311FT,2016,952500,952500,0.9846930126,966236.5365,1719
313TT,2016,51479,51478,1.012110409,51006.43607,221
315AL,2016,18511,18513,1.047023036,17734.03157,153
322,2016,179292,179291,1.026956364,174597.221,361
323,2016,86129,86130,1.015813345,84211.99313,438
324,2016,431700,431698,0.4907918313,854853.3907,109
325,2016,767711,767711,0.9505565026,802014.8884,798
326,2016,231391,231391,1.007758231,229377.9193,689
42,2016,1923255,1923253,1.042853488,1842878.735,5681
441,2016,335898,335898,0.9165400904,355902.7205,1725
445,2016,237337,237338,1.136891164,210153.5874,2688
452,2016,229670,229670,1.009774345,226574.7737,2785
4A0,2016,960186,960185,1.056726977,907812.2411,6596
481,2016,221809,221808,0.9678843406,228822.564,450
482,2016,75673,75673,0.9994001634,75605.02952,179
483,2016,50815,50815,1.012065024,50079.62994,62
484,2016,337616,337617,1.006670235,334369.9988,1387
485,2016,68184,68184,1.074232147,63473.3522,458
486,2016,45189,45189,1.11958477,40386.76408,46
487OS,2016,228320,228320,1.062908426,214990.0956,1265
493,2016,118222,118223,1.00908959,117089.0189,878
511,2016,357787,357786,0.9718830536,363367.7901,681
512,2016,149886,149885,1.019839284,146924.0731,384
513,2016,865295,865294,0.969791627,882603.5539,1054
514,2016,323476,323475,0.9899417054,321035.5843,514
521CI,2016,975080,975079,1.234806849,803976.0459,2547
523,2016,530863,530863,1.203164271,441652.7574,893
524,2016,978973,978974,1.055155266,927925.2361,2513
525,2016,158098,158098,1.17068352,135054.9824,10
HS,2016,1958410,1958411,1.120554139,1748037.831,
ORE,2016,1223784,1223784,1.083387781,1129464.425,1462
532RL,2016,341595,341596,1.010637209,337819.7812,538
5411,2016,335024,335024,1.130542592,296406.8177,1084
5415,2016,433960,433960,0.9521882115,452647.9139,1891
5412OP,2016,1307380,1307380,1.048792446,1249919.785,5521
55,2016,541129,541129,1.010596991,535927.5138,2130
561,2016,876346,876346,1.071958731,819522.1816,7933
562,2016,105178,105176,1.074892057,98080.74578,389
61,2016,349890,349891,1.087216102,322998.2993,3205
621,2016,1015115,1015116,1.02798583,987293.6635,6388
622,2016,821373,821373,1.065349775,771413.0264,4722
623,2016,239585,239584,1.070519088,223790.6487,3038
624,2016,209158,209158,1.08712286,192454.026,3214
711AS,2016,183084,183086,1.105336144,166242.7471,524
713,2016,144491,144491,1.077018919,133940.1647,1342
721,2016,269314,269314,1.092862008,246495.4318,1778
722,2016,776241,776242,1.107043627,701279.6302,9142
81,2016,682179,682179,1.08200956,630990.3739,6003
GFGD,2016,611982,611982,1.028173436,594871.4443,1460
GFGN,2016,401004,401005,1.063360042,377678.832,2114
GFE,2016,97758,97759,1.041046615,94171.57242,592
GSLG,2016,2200230,2200227,1.056769457,2075765.401,15025
GSLE,2016,340953,340950,1.082842946,322429.5374,1084
111CA,2017,395529,395529,0.8416233231,468605.261,702
113FF,2017,53382,53383,1.080940851,49357.84226,518
211,2017,253994,253994,0.6627036985,378596.6757,143
212,2017,101852,101852,0.9179112013,107929.9546,183
213,2017,106929,106928,1.039782062,102505.7754,289
22,2017,474119,474119,1.064237368,445100.9286,547
23,2017,1577966,1577967,1.132361767,1393590.366,6892
321,2017,108455,108455,1.150403792,94445.33985,387
327,2017,127320,127322,1.150681779,110980.2715,402
331,2017,222887,222885,0.9044126292,246677.4213,360
332,2017,346279,346280,1.024653155,337773.168,1386
333,2017,378267,378263,1.063004263,356126.262,1059
334,2017,354303,354304,0.9308213568,373314.3291,1029
335,2017,124254,124254,0.9979243174,124197.4977,383
3361MV,2017,597171,597174,1.041352092,573044.6681,959
3364OT,2017,335565,335565,1.058066701,317191.3079,670
337,2017,76282,76283,1.06799953,71394.09746,384
339,2017,158849,158847,1.039533457,152394.4747,579
311FT,2017,953120,953120,0.997197874,954865.9973,1789
313TT,2017,49704,49704,1.01853738,48794.86943,222
315AL,2017,15711,15712,1.056222736,14932.10851,145
322,2017,185299,185300,1.067156136,173745.1221,360
323,2017,83928,83927,1.021533935,81388.07611,431
324,2017,538793,538792,0.5933098383,877516.0106,112
325,2017,782650,782649,1.00270731,781790.2814,815
326,2017,237762,237764,1.027580254,231234.9998,705
42,2017,2053876,2053874,1.066007164,1925557.155,5743
441,2017,355735,355735,0.8934793874,385690.5801,1749
445,2017,249238,249237,1.147934292,218325.1036,2702
452,2017,233936,233936,1.005591086,231398.9901,2712
4A0,2017,1008034,1008033,1.068707185,941991.2672,6689
481,2017,236301,236301,0.9788375325,241007.1669,468
482,2017,79569,79568,1.034201028,76929.91494,173
483,2017,54977,54978,1.05833545,51875.43075,61
484,2017,367154,367155,1.029357269,355337.5593,1397
485,2017,78301,78300,1.088767189,71917.47477,462
486,2017,48072,48071,1.145777238,41983.22746,47
487OS,2017,238706,238705,1.089134791,219397.1811,1322
493,2017,123834,123834,1.036441275,119401.6998,972
511,2017,385290,385288,0.9652230148,393449.2834,676
512,2017,150736,150736,1.021064562,147564.3009,370
513,2017,862043,862042,0.9523446726,891160.7686,1026
514,2017,365235,365235,0.9880446596,360824.5045,541
521CI,2017,1057917,1057916,1.321143582,818870.6764,2601
523,2017,549317,549317,1.2566603,437308.9464,901
524,2017,1043139,1043139,1.058033116,986039.0429,2588
525,2017,157361,157361,1.190178646,132217.1322,12
HS,2017,2033638,2033637,1.15928588,1754651.95,
ORE,2017,1265027,1265027,1.107407448,1142174.696,1501
532RL,2017,348724,348724,1.023792948,340540.0107,550
5411,2017,354713,354713,1.169631683,303361.3349,1095
5415,2017,476031,476031,0.9369349111,503846.8692,1958
5412OP,2017,1373298,1373298,1.065802656,1294016.724,5602
55,2017,568623,568623,1.011163242,562946.2822,2182
561,2017,939580,939580,1.088305074,865855.222,8058
562,2017,115616,115616,1.104276864,104902.6264,402
61,2017,357469,357468,1.113871036,322656.1404,3279
621,2017,1072340,1072340,1.038820731,1032068.718,6615
622,2017,846173,846173,1.083564494,781436.0766,4806
623,2017,243885,243886,1.098599286,221982.6495,3037
624,2017,224460,224460,1.11538676,201309.5632,3364
711AS,2017,198999,198998,1.127433848,177172.9629,540
713,2017,153499,153499,1.092932009,140108.0356,1370
721,2017,282916,282916,1.116532497,253550.7922,1804
722,2017,817531,817531,1.134056862,721008.1236,9358
81,2017,708881,708880,1.103911157,642831.2479,6004
GFGD,2017,624290,624289,1.046561522,596285.2135,1467
GFGN,2017,405353,405353,1.088660512,373149.5007,2121
GFE,2017,94811,94810,1.048712705,90203.00989,562
GSLG,2017,2268884,2268883,1.082766685,2091173.523,15139
GSLE,2017,354249,354250,1.116632237,324720.0486,1087
111CA,2018,395074,395074,0.8416654042,467464.4941,697
113FF,2018,53053,53053,1.100278883,48190.02008,522
211,2018,346639,346638,0.7680802137,447432.3939,141
212,2018,106906,106905,0.958042279,108922.4061,189
213,2018,132025,132025,1.018216982,128873.0747,334
22,2018,515495,515495,1.105178579,466183.9426,546
23,2018,1661960,1661960,1.175244307,1414234.031,7176
321,2018,120358,120358,1.219830661,98907.37823,398
327,2018,131415,131417,1.189551809,110946.1753,411
331,2018,254587,254587,0.9919235952,257031.6787,371
332,2018,373231,373231,1.070373179,348637.3281,1432
333,2018,389679,389679,1.085157271,359324.9435,1095
334,2018,366625,366625,0.9239146623,387669.698,1039
335,2018,128063,128063,1.03995689,122943.5419,391
3361MV,2018,638032,638032,1.057253538,602949.3573,990
3364OT,2018,352871,352872,1.073726088,328723.0034,687
337,2018,76689,76690,1.092670319,70139.164,384
339,2018,167331,167331,1.053972577,158236.1891,592
311FT,2018,956440,956441,1.00095731,954020.4649,1812
313TT,2018,50717,50718,1.048940721,48299.21324,220
315AL,2018,16936,16935,1.05975052,16009.23031,137
322,2018,190207,190207,1.112115424,171107.564,356
323,2018,83212,83213,1.031810567,79727.12076,419
324,2018,668876,668875,0.7203849394,904696.2745,112
325,2018,825397,825397,1.052291186,787124.2308,820
326,2018,252768,252765,1.060226479,238279.9437,720
42,2018,2175142,2175143,1.096036585,1984059.546,5706
441,2018,370443,370443,0.8990189596,398086.5642,1762
445,2018,253092,253091,1.18414014,215210.9265,2689
452,2018,242483,242482,1.000764249,240625.0295,2697
4A0,2018,1068280,1068279,1.079522502,987684.2862,6661
481,2018,253774,253775,1.006039428,251840.0728,482
482,2018,86545,86544,1.090564984,79388.73913,172
483,2018,59805,59805,1.122237744,53280.5923,61
484,2018,401324,401325,1.092899494,366521.7783,1435
485,2018,95376,95377,1.101875946,86560.24859,465
486,2018,55595,55595,1.175762228,47324.94014,47
487OS,2018,256632,256633,1.128866429,227710.1151,1397
493,2018,129874,129874,1.075027984,120744.512,1080
511,2018,399887,399886,0.9544028648,412497.8578,680
512,2018,162543,162543,1.034134188,157107.4051,368
513,2018,887012,887010,0.9543541198,913073.4665,1000
514,2018,428369,428370,0.9674142871,426117.332,580
521CI,2018,1111861,1111861,1.422580986,803268.8253,2598
523,2018,579751,579751,1.322371067,438334.1838,922
524,2018,1097423,1097424,1.089266254,1007748.172,2636
525,2018,149174,149174,1.255686078,118799.6066,14
HS,2018,2116014,2116014,1.198736378,1765550.665,
ORE,2018,1340641,1340642,1.128470338,1187814.105,1552
532RL,2018,380275,380275,1.044883083,363883.0838,554
5411,2018,358780,358780,1.200942723,298866.3394,1104
5415,2018,519246,519244,0.9161911722,560924.3514,2034
5412OP,2018,1461948,1461947,1.082120095,1359250.593,5810
55,2018,600944,600944,1.010263307,595637.8758,2240
561,2018,1016602,1016601,1.101462682,925824.6385,8193
562,2018,123447,123446,1.152887132,107308.0781,422
61,2018,369505,369505,1.140035867,326065.4327,3336
621,2018,1109180,1109180,1.049333597,1056836.397,6826
622,2018,883635,883636,1.104943221,800351.6608,4856
623,2018,250227,250226,1.132326284,220972.8028,3079
624,2018,236289,236289,1.141787965,207016.1449,3494
711AS,2018,212139,212141,1.144965444,185892.0806,565
713,2018,162145,162144,1.126572456,143709.3335,1428
721,2018,297971,297970,1.158927236,258024.7154,1839
722,2018,863303,863302,1.164381542,741554.631,9502
81,2018,741303,741304,1.129665405,657088.4105,6173
GFGD,2018,659499,659498,1.077424621,612258.5649,1476
GFGN,2018,427483,427484,1.12551167,381072.1593,2132
GFE,2018,98759,98759,1.080404803,91199.80841,557
GSLG,2018,2383827,2383826,1.124399064,2124206.326,15273
GSLE,2018,372379,372379,1.146289989,330974.2858,1100
111CA,2019,388056,388056,0.8367671565,461658.1357,697
113FF,2019,50994,50993,1.107553615,45993.5892,525
211,2019,316004,316005,0.6383625917,481344.7718,140
212,2019,106096,106097,0.9653029566,106631.949,188
213,2019,135631,135630,1.046270302,128687.5614,335
22,2019,517969,517968,1.118470904,462582.432,544
23,2019,1732164,1732164,1.215409179,1425274.8,7430
321,2019,112381,112381,1.182833675,95113.45999,398
327,2019,135072,135072,1.213175306,111755.2491,413
331,2019,235954,235954,0.9582251807,246237.9534,379
332,2019,377502,377504,1.094309076,345129.0938,1453
333,2019,391132,391132,1.115941875,350889.6562,1105
334,2019,367248,367248,0.9203775411,388897.8092,1059
335,2019,131501,131500,1.065653441,123285.9847,393
3361MV,2019,650219,650220,1.06403274,610384.1222,987
3364OT,2019,328510,328511,1.091448705,301094.1068,721
337,2019,74187,74187,1.119188748,66265.30195,375
339,2019,166814,166814,1.076748755,154561.952,603
311FT,2019,977827,977826,1.015297015,961621.3332,1848
313TT,2019,49895,49894,1.066113261,46889.705,212
315AL,2019,17331,17332,1.060299756,16346.33231,131
322,2019,190943,190944,1.110407974,171979.0667,362
323,2019,81156,81154,1.060219425,75998.54328,412
324,2019,597698,597696,0.6438539034,902995.5751,113
325,2019,805728,805728,1.027173368,783801.1883,839
326,2019,250297,250297,1.06798471,234232.1516,725
42,2019,2232753,2232752,1.135606771,1966710.753,5725
441,2019,371276,371276,0.8986615679,397062.2324,1783
445,2019,263473,263473,1.205996809,219938.5747,2695
452,2019,244474,244474,1.032299586,235298.6108,2643
4A0,2019,1108702,1108701,1.100821836,1005165.441,6601
481,2019,272267,272268,1.040240011,261486.6122,485
482,2019,84848,84848,1.123100948,75608.44813,166
483,2019,60883,60883,1.147140378,53043.57583,63
484,2019,409425,409425,1.12098036,364636.1573,1470
485,2019,109551,109551,1.107929491,98880.5164,476
486,2019,61593,61593,1.263058996,48853.19791,48
487OS,2019,264513,264512,1.163675176,227891.2251,1531
493,2019,134932,134932,1.074147009,125493.4704,1180
511,2019,418461,418462,0.9566904433,430843.3071,698
512,2019,166843,166844,1.024607656,162714.6877,389
513,2019,893988,893988,0.9552207535,918561.6452,963
514,2019,481772,481773,0.9713565853,476160.1432,592
521CI,2019,1119901,1119902,1.45868784,789907.2735,2615
523,2019,607994,607993,1.34140947,452939.1205,929
524,2019,1132639,1132638,1.092461514,1036977.088,2736
525,2019,147388,147387,1.287499554,114477.7323,16
HS,2019,2218948,2218948,1.23949687,1790550.003,
ORE,2019,1435813,1435813,1.155468932,1242451.095,1621
532RL,2019,403077,403076,1.055100536,381843.8614,564
5411,2019,370979,370978,1.244031954,298346.4613,1120
5415,2019,531833,531833,0.9018935455,581868.9353,2108
5412OP,2019,1573028,1573027,1.092682199,1448828.526,6005
55,2019,631717,631717,1.002811034,630804.7804,2251
561,2019,1085165,1085164,1.122869643,970256.9418,8235
562,2019,128247,128248,1.18746204,108306.5338,435
61,2019,383160,383160,1.16583312,331102.813,3368
621,2019,1162296,1162295,1.061633234,1094558.37,7002
622,2019,931191,931191,1.128629941,826010.9771,4911
623,2019,261253,261253,1.168591046,223573.425,3067
624,2019,247852,247851,1.169527634,211984.0422,3638
711AS,2019,224384,224383,1.163196049,193509.1027,578
713,2019,172324,172323,1.16251899,148138.4736,1462
721,2019,306476,306477,1.188091064,258639.5003,1890
722,2019,909020,909018,1.195182526,760701.3586,9701
81,2019,776759,776758,1.164273019,668328.2054,6315
GFGD,2019,702343,702343,1.093740516,642473.4568,1499
GFGN,2019,440949,440948,1.147840098,385769.2752,2167
GFE,2019,98900,98903,1.112474438,89068.48741,552
GSLG,2019,2503853,2503850,1.139817662,2197796.085,15459
GSLE,2019,382401,382399,1.168522137,333718.2121,1110
