famiglia,vincoli_con_duale_non_nullo
accumulazione,980
banda_import,348
bilancio,355
capacita,165
import_totale,5
lavoro,5
o2,315
quote,355
scorte,55
scorte_massime,1
scorte_minime,16
terminale,4
terminale_scorte,7
