famiglia,vincoli_con_duale_non_nullo
accumulazione,186
bilancio,437
capacita,16
distanza,3675
import_totale,1
inv_max,2
lavoro,9
quote,688
scorte,110
scorte_minime,7
terminale_scorte,4
