anno,produzione_lorda,consumo_privato,consumo_pubblico_e_inv_pubblici,investimento_E,investimento_S,investimento_N,investimento_R,investimento_totale_FA,domanda_di_prodotti_per_investimento,ammortamento,investimento_netto,variazione_scorte,esportazioni,importazioni,residuo_materiale,gamma,prodotto_finale_lordo,prodotto_netto,surplus_economico
2010,27878.40841,10792.45013,3298.316228,756.2839421,397.7260542,589.2146946,382.9823414,2126.207032,2258.935937,2020.103644,106.1033884,50.82571647,1600.844595,2131.091685,49.31800406,0.9989867336,15919.59893,13899.49529,3107.045151
2011,28502.69344,10932.21535,3204.017473,869.7265335,411.1623063,625.7718028,382.3305865,2288.991229,2405.007067,2032.543509,256.4477203,12.08968942,1737.959754,2281.33261,56.29537942,1.011923888,16066.2521,14033.70859,3101.493245
2012,29250.61989,11056.28954,3142.018,979.968,461.451,655.697,432.014,2529.13,2649.737,2075.752666,453.3773337,42.18455435,1789.203,2359.7,35.73327028,1.023408627,16355.46537,14279.7127,3223.423158
2013,29900.06043,11217.06559,3066.668636,1040.300973,467.9064184,697.4146175,486.640999,2692.263008,2801.887495,2140.431423,551.8315849,76.90535935,1813.000954,2314.001983,27.99659969,1.038290617,16689.52265,14549.09123,3332.025639
2014,30734.88844,11474.61624,3043.148649,1120.873071,519.2634825,736.3419464,508.1175307,2884.59603,3011.469661,2214.712794,669.8832367,5.182288996,1861.772477,2400.943252,71.81147415,1.062130402,17067.05754,14852.34475,3377.728503
2015,31443.91924,11875.06634,3099.013496,1162.908228,515.2763645,771.8410725,562.3000943,3012.325759,3133.907347,2300.503588,711.8221714,70.38585469,1786.331162,2449.018461,75.47213249,1.099197456,17591.15787,15290.65428,3415.587943
2016,32024.67723,12189.32445,3153.230443,1160.192463,494.6857711,845.5307864,602.4324513,3102.841472,3213.322113,2386.144411,716.6970604,-11.88385508,1792.891133,2422.09463,57.17591701,1.128286281,17971.96557,15585.82116,3396.496709
2017,32781.41215,12451.88059,3174.345219,1217.722438,505.3221883,902.5941762,629.0185563,3254.657359,3363.880268,2477.084314,777.5730445,-26.80885144,1869.897522,2503.170818,62.71417873,1.15258939,18392.73811,15915.65379,3463.773204
2018,33795.54207,12712.42503,3247.706474,1277.112406,541.3342036,984.9626808,627.4769191,3430.886209,3540.192361,2575.946516,854.9396936,34.7848586,1924.276746,2597.656693,26.95605862,1.17670629,18888.68484,16312.73832,3600.313289
2019,34385.63943,12926.72572,3372.528694,1294.274697,552.0009372,1064.490259,622.2039545,3532.969848,3613.921401,2691.539736,841.430112,48.74140669,1937.66587,2611.710152,30.66827362,1.196542707,19318.54121,16627.00148,3700.275759
