industria_io,tipo,K_inizio_a0,delta,w_costo_uso,I_anno_precedente
481,S,57.03665816,0.02349732009,0.7100268728,0.5230042004
482,E,36.35491526,0.08025324609,2.222191427,2.791822143
482,N,0.9915569256,0.4594622383,9.571822595,0.2613218575
482,S,333.0977535,0.02197046347,0.8306260634,8.098327362
483,E,36.90969696,0.07294406826,1.023350137,3.903128979
483,N,0.3490165505,0.6019363348,3.99465438,0.143423145
483,S,6.462884828,0.0250190858,0.7026107214,0.06711581238
484,E,86.92844123,0.1837662317,1.092033307,10.01819152
484,N,1.005694699,0.5038602913,1.945827068,0.2863833634
484,S,23.99846791,0.02870980653,0.6050098161,0.9553225177
485,E,17.12149246,0.1557851165,1.18863132,2.00916722
485,N,0.3281432773,0.5275882129,2.334483666,0.180875
485,S,27.00824696,0.02387481474,0.8616942409,0.1236749599
486,E,25.93741506,0.1505284248,1.946766018,4.099706271
486,N,0.9467184762,0.4749252496,5.184408951,0.4051738124
486,S,147.9025094,0.02666044038,0.8260410826,8.522716204
487OS,E,67.87533417,0.1188226267,1.219380423,3.598880799
487OS,N,1.886906574,0.5352712722,3.414407571,0.7195242331
487OS,S,62.09897515,0.02129987689,0.6950701384,1.594424976
493,E,8.668101411,0.1536667928,1.353088323,1.258635983
493,N,0.4514104165,0.5261585102,2.669719132,0.2190426641
493,S,32.68010432,0.02353833556,0.8879937653,1.716239926
4A0,E,137.8279217,0.1608962943,1.510507031,19.90705004
4A0,N,16.9038993,0.4224768205,2.965660032,7.116973061
4A0,S,425.6828055,0.02600066454,0.7319450501,9.945577709
511,E,25.47465448,0.2244430265,1.062325313,5.247797981
511,N,177.0193158,0.2388231058,1.096497213,46.22530363
511,S,46.78868813,0.0276274601,0.5608833362,3.805199213
512,E,10.57828101,0.1571555063,1.302449513,1.769002914
512,N,210.4228033,0.1302313276,1.069117835,27.16934734
512,S,33.64649663,0.02825207114,0.4456212467,0.6006957351
513,E,263.1502446,0.1324936824,1.3014423,47.93491371
513,N,135.4424198,0.2345292376,1.84045196,33.93203495
513,S,779.9606914,0.02469593488,0.7187544331,25.36611461
514,E,20.0938722,0.2563345789,1.031793539,5.46382489
514,N,44.66261551,0.3826269187,1.12918568,12.92641958
514,S,17.16753801,0.02745223204,0.6305146591,1.812758114
521CI,E,362.128517,0.1705250313,1.134056079,31.302094
521CI,N,29.67504754,0.5221387343,1.942617412,14.00556325
521CI,S,368.6244794,0.02528668668,0.7807406901,9.954164847
523,E,29.87965516,0.1841364264,1.50166362,7.425163674
523,N,19.96751644,0.4926690478,3.899034198,11.27463125
523,S,102.9318158,0.02571015286,0.2145768024,4.94159231
524,E,46.92133521,0.1853345974,1.069170777,6.58548398
524,N,38.90486684,0.492378817,1.553144296,19.29820555
524,S,160.3489748,0.02577585441,0.8352940882,3.611550648
525,E,1.040061212,0.1641441443,1.536136826,0.1815919192
525,N,0.35532475,0.4571839142,3.200880731,0.2359708955
525,S,40.62386794,0.02472702396,0.9445634254,0.4672237762
532RL,E,335.130408,0.1470274256,1.017377931,29.41770748
532RL,N,1.327975849,0.587745594,2.087174257,0.5567769538
532RL,S,23.58124307,0.02697392775,0.6757346165,0.8481029557
5411,E,16.26529482,0.1978109192,1.051970899,3.299687317
5411,N,2.898449464,0.5556160019,1.332171522,1.890511554
5411,S,24.99643668,0.0251872898,0.9280740511,0.7258073879
5412OP,E,113.9503424,0.175612906,1.022446603,19.3720498
5412OP,N,197.1240341,0.2445102996,1.195626752,53.03007406
5412OP,S,112.1658943,0.02735514336,0.621264357,7.331447107
5415,E,23.99811299,0.2728025939,0.9878007705,8.726263069
5415,N,43.94242725,0.475749297,1.352063687,21.98812033
5415,S,25.18875424,0.0254433012,0.4225179294,1.373376913
55,E,41.12373507,0.1663921701,1.647318565,6.902427746
55,N,38.1567875,0.4398332043,4.137602335,19.87710801
55,S,292.0128046,0.02550397866,0.4004874045,3.362611903
561,E,69.97006961,0.1861913325,1.00339583,12.83348887
561,N,24.81363884,0.4854006544,1.64513464,13.65683253
561,S,55.59294436,0.02486311415,0.6602489282,4.068446458
562,E,24.46394682,0.1547416558,1.557128449,3.199315771
562,N,0.7817472304,0.3327556597,2.702464246,0.2087509495
562,S,72.95533627,0.02339856171,0.7761856078,0.8940929374
61,E,42.65759823,0.1741891416,2.470932163,9.152122746
61,N,19.95816346,0.2946302322,4.066934634,7.645644706
61,S,419.7167994,0.01961656733,0.6673633483,17.26755595
621,E,117.487398,0.1778760706,1.298107785,22.82035964
621,N,11.13082185,0.3224867251,1.821653722,2.96542788
621,S,182.1215351,0.02316198236,0.7337736571,5.781443498
622,E,164.9360105,0.1744014651,2.25682017,37.00787764
622,N,15.71011238,0.3787073013,4.570853949,6.382532071
622,S,580.8017512,0.01931469077,0.5134792153,28.21074597
623,E,16.16143997,0.1546454848,2.149559133,3.058893264
