industria_io,fonte_calibrazione,kappa_calibrato,moltiplicatore_u_nel_vincolo,theta_deriva_annua,K_cap_a0,capacita_a0,x_osservato_a0,utilizzo_implicito_a0,kappa_2012,kappa_2013,kappa_2014,kappa_2015,kappa_2016
42,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.3147638671,0.9691415837,0.0113927446,520.9430135,1707.725711,1655.028,0.9691415837,0.3050507527,0.3016145353,0.2982170249,0.2948577855,0.2915363859
441,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.8564455173,0.6510700545,0.01848869936,190.0238492,340.7851405,221.875,0.6510700545,0.5576060296,0.5474837668,0.5375452542,0.5277871562,0.5182061976
445,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,1.068484296,0.8362767166,-0.01717113089,221.9017501,248.3376565,207.679,0.8362767166,0.8935485388,0.9091598415,0.9250438912,0.9412054532,0.957649376
452,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.9678285545,0.8932961041,-0.01775220434,204.0550368,236.0225227,210.838,0.8932961041,0.8645574772,0.8801826596,0.8960902366,0.9122853119,0.9287730814
481,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,1.16157985,0.6861635524,0.0005064275679,226.9901264,284.7936171,195.415,0.6861635524,0.7970337562,0.7966303206,0.7962270893,0.795824062,0.7954212388
482,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,4.736110571,0.977600598,0.004468111723,374.8205267,80.95432855,79.141,0.977600598,4.630024527,4.609429082,4.588925252,4.568512627,4.548190802
483,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.8902229233,0.9471455055,0.007139268646,44.53162129,52.81448279,50.023,0.9471455055,0.8431706407,0.83719369,0.8312591079,0.8253665941,0.8195158503
484,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.3816317593,0.9155771815,-0.01506315857,113.6400155,325.2309101,297.774,0.9155771815,0.3494133306,0.3547570929,0.3601825802,0.3656910424,0.3712837484
485,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.8437712524,0.7777688756,0.02631918013,43.0255837,65.56189326,50.992,0.7777688756,0.6562590182,0.6394297514,0.6230320584,0.6070548719,0.5914874082
486,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,4.953754587,0.8791396366,-0.03515594357,180.5247246,41.45189056,36.442,0.8791396366,4.355042007,4.513726315,4.678192589,4.848651508,5.025321424
487OS,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.6890329343,0.8628184448,0.02105247386,129.0097034,217.0016197,187.233,0.8628184448,0.5945103248,0.5822524699,0.5702473524,0.5584897613,0.546974593
493,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.3877014847,1,0.03957603106,42.21603926,108.888,108.888,1,0.3877014847,0.3729419235,0.35874425,0.3450870732,0.331949817
4A0,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.7647179842,0.8899208507,-0.009518484697,583.723767,857.738078,763.319,0.8899208507,0.680538479,0.6870784245,0.6936812185,0.7003474652,0.7070777741
511,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.9127410386,0.6782591215,-0.02721136876,270.3840161,436.7549077,296.233,0.6782591215,0.619074935,0.6363920333,0.6541935348,0.6724929895,0.6913043264
512,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,1.970559013,0.8460549424,-0.007442570785,259.5206515,155.6624675,131.699,0.8460549424,1.667201193,1.679702497,1.692297541,1.704987028,1.717771665
513,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,1.69638664,0.9534077835,-0.003213270411,1243.668545,768.9553333,733.128,0.9534077835,1.617348227,1.622561957,1.627792494,1.633039893,1.638304208
514,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.497358033,0.8686197405,-0.02477826104,110.1861907,255.0517674,221.543,0.8686197405,0.4320150055,0.4429915662,0.4542470174,0.465788445,0.4776231153
521CI,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.9909439047,0.9917070163,-0.008789291452,754.7217058,767.9879113,761.619,0.9917070163,0.982726023,0.9914400788,1.000231404,1.009100684,1.01804861
523,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.3264920713,0.7520377062,-0.03799542881,156.2166614,636.2313965,478.47,0.7520377062,0.2455343484,0.2552319976,0.2653126661,0.2757914817,0.2866841697
524,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.3020330129,0.9679104442,0.02374554701,241.2008458,825.0670347,798.591,0.9679104442,0.2923409076,0.2855601262,0.2789366235,0.2724667515,0.2661469466
525,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.3482948851,0.6784746526,-0.01310269733,40.84070994,172.827385,117.259,0.6784746526,0.2363092512,0.2394466481,0.2426256993,0.2458469575,0.2491109833
532RL,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,1.255271089,0.8508514162,-0.03035794732,374.8452867,350.9625703,298.617,0.8508514162,1.068049184,1.101488101,1.135973938,1.171539472,1.208218506
5411,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.1398476662,0.8780996111,-0.03197119161,42.92414343,349.5446258,306.935,0.8780996111,0.1228001813,0.1268559161,0.1310456001,0.1353736572,0.1398446576
5412OP,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.3988241181,0.8482778857,-0.01885681959,448.2228721,1324.873628,1123.861,0.8482778857,0.3383136796,0.3448158091,0.3514429046,0.3581973677,0.3650816464
5415,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.267299839,0.6493851249,-0.001161275907,94.68375088,545.4744595,354.223,0.6493851249,0.1735805393,0.1737823486,0.1739843925,0.1741866713,0.1743891852
55,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.7747686107,0.8051813018,-0.001307628001,370.9948501,594.7058121,478.846,0.8051813018,0.6238291985,0.6246460031,0.6254638772,0.6262828222,0.6271028394
561,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.2444065854,0.790545338,-0.02500121595,161.6901094,836.8425796,661.562,0.790545338,0.1932144867,0.1981689514,0.2032504601,0.2084622703,0.2138077234
562,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,1.174130432,0.8606366308,0.01511668213,98.1150354,97.09556508,83.564,0.8606366308,1.010499659,0.9954517316,0.9806278914,0.9660248016,0.9516391747
61,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,1.619302066,0.9632095976,-0.01438968699,501.3521127,321.4357506,309.61,0.9632095976,1.559727291,1.582498956,1.605603082,1.629044523,1.652828203
621,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.3737744459,0.9280541796,0.004813531649,324.9049322,936.6414365,869.254,0.9280541796,0.3468829368,0.3452212036,0.3435674309,0.3419215806,0.3402836146
622,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,1.142469975,0.998931839,-0.0194931618,810.4442084,710.1375412,709.379,0.998931839,1.141249633,1.163938474,1.187078385,1.210678334,1.234747466
623,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.3916111726,0.9013538782,-0.03326457873,81.83851124,231.8501146,208.979,0.9013538782,0.3529802492,0.3651260122,0.377689701,0.390685696,0.4041288727
624,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.3296964139,0.8768511759,-0.01357161455,55.94255781,193.5094628,169.679,0.8768511759,0.2890946882,0.2930721505,0.297104336,0.3011919977,0.3053358988
711AS,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,1.038529614,0.8989336266,0.006364429395,150.3448166,161.0430356,144.767,0.8989336266,0.9335691923,0.927665133,0.9217984121,0.9159687934,0.9101760422
713,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,1.272472495,0.7997957196,-0.02075736498,152.4880139,149.83326,119.836,0.7997957196,1.017718055,1.039290997,1.061321229,1.083818444,1.106792541
721,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,1.571398628,0.8367444209,-0.008620859175,337.8161342,256.9219401,214.978,0.8367444209,1.314859035,1.326292818,1.337826028,1.349459529,1.361194192
722,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.3678341516,0.9712993688,0.01069706711,225.8439159,632.1253979,613.983,0.9712993688,0.3572770793,0.3534957119,0.349754366,0.3460526179,0.3423900486
81,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,1.002668821,0.8605867955,-0.02193782326,577.5663184,669.3444554,576.029,0.8605867955,0.8628835478,0.8822379275,0.9020264238,0.9222587737,0.942944933
ORE,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,1.283991258,0.7544948415,0.02570354553,1141.58764,1178.395068,889.093,0.7544948415,0.9687647809,0.9444880883,0.9208197558,0.8977445382,0.8752475724
HS,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,9.452308474,0.9916329632,-0.0008915808388,16320.95131,1741.231952,1726.663,0.9916329632,9.373220661,9.381585102,9.389957008,9.398336385,9.406723239
