industria_io,tipo,K_inizio_a0,delta,w_costo_uso,I_anno_precedente
111CA,E,210.8151004,0.1450804608,1.533969816,36.56264626
111CA,N,0.05686190476,0.7067080578,6.121448472,0.04138461538
111CA,S,253.4878801,0.02428554516,0.5547711563,7.605135412
113FF,E,33.95736731,0.1347475492,1.290059359,5.797038513
113FF,N,0.1353743207,0.6642470575,4.822399824,0.07742524917
113FF,S,18.68330894,0.02509113414,0.4451139788,0.5169395149
211,E,54.15260434,0.140941034,1.551122843,9.018760878
211,N,8.744039609,0.2459384321,2.514411624,2.470933581
211,S,1464.481286,0.07353862932,0.9705787893,130.9246067
212,E,43.68310231,0.1538280279,1.294253323,10.19688417
212,N,1.383163222,0.2472042193,1.639392838,0.3943927651
212,S,110.7721479,0.04100159883,0.875977103,11.94499285
213,E,71.60372302,0.1397054519,1.12487222,17.50428286
213,N,1.94726701,0.3984085903,2.405211599,1.045179037
213,S,53.88716062,0.05970389009,0.7832946119,4.546687916
22,E,498.8863593,0.07595386547,1.439943142,55.06167158
22,N,8.973254686,0.5291060775,6.333212826,4.679361842
22,S,1505.63737,0.02272877016,0.8224420338,51.6034545
23,E,183.1757609,0.1718876935,1.111967512,29.2129765
23,N,6.39643848,0.3765681856,1.609541408,2.093328018
23,S,87.07276629,0.02598900268,0.7196755165,2.1563485
311FT,E,149.705923,0.1016051689,1.060909109,16.85721427
311FT,N,23.24760722,0.2259033878,1.414703055,5.632927259
311FT,S,126.7860721,0.03114710103,0.8520396771,3.5558957
313TT,E,16.49193837,0.111663873,1.391080852,1.126128968
313TT,N,2.396261023,0.2220246989,2.508561092,0.5807242424
313TT,S,23.15844203,0.03044768447,0.5654030854,0.1359030837
315AL,E,5.06548826,0.12461646,1.592888319,0.379171074
315AL,N,2.341639321,0.2118399807,2.684368165,0.5525173407
315AL,S,11.13799958,0.02889591339,0.3762388392,0.04146825397
321,E,16.31526976,0.1533389748,1.308048986,1.857865382
321,N,0.5560048475,0.3232215387,1.960496796,0.1530060041
321,S,21.31381491,0.03104154035,0.7391389947,0.2208561485
322,E,67.48857659,0.112071964,1.09527904,6.719201871
322,N,7.231220313,0.2281745748,1.617467331,1.74325649
322,S,38.38679298,0.03122195459,0.7161708948,0.718358209
323,E,27.32460115,0.1277488006,1.095174472,2.996712841
323,N,4.282662133,0.2848466394,1.776739186,1.368703508
323,S,18.73995726,0.03077373745,0.6837177428,0.2188095238
324,E,107.1077839,0.09497089102,0.9983092619,9.106620524
324,N,35.10354741,0.2089781997,1.162108634,8.11449436
324,S,61.9230723,0.03160431596,0.9110267513,1.747318104
325,E,154.4417217,0.1237560514,1.067523672,22.12134829
325,N,463.0426602,0.1211478963,1.061145364,68.33294942
325,S,147.7768688,0.0308301514,0.7378386455,2.866023727
326,E,51.36746559,0.1344060946,1.076597688,6.493910023
326,N,11.8334633,0.2165322,1.339378331,2.793343412
326,S,30.69607442,0.03132172538,0.7409880498,0.7025171299
327,E,42.75331973,0.1133177361,1.080686659,3.377043017
327,N,15.81854138,0.1853278665,1.462753624,3.383607926
327,S,32.77286679,0.03118341972,0.6713833446,0.5699512953
331,E,91.30628183,0.07678748131,1.046597974,8.083888071
331,N,12.08105594,0.197303685,1.637660152,2.733631422
331,S,65.82985942,0.03080124572,0.8183454163,1.236141471
332,E,96.44695894,0.09436238549,1.034764064,10.94574131
332,N,17.65924245,0.2068149197,1.453913079,4.182113007
332,S,55.79038069,0.03085858467,0.7962256356,1.202547418
333,E,96.50768754,0.09291512477,0.9772708296,12.56727104
333,N,49.9582669,0.2041467659,1.354043241,12.07481499
333,S,67.20331404,0.03030314455,0.7694481694,1.851023023
334,E,141.3073137,0.139099927,0.7374707123,25.57162693
334,N,209.6528218,0.3342588152,1.752452209,75.90924529
334,S,145.6690008,0.03052510103,0.1717083267,4.415364571
335,E,22.01426169,0.1246374868,1.067317202,2.555163375
335,N,19.08424505,0.1967883199,1.294705928,4.254161779
335,S,27.80493004,0.0293632301,0.744427386,0.5008107607
3361MV,E,100.3025956,0.1461159787,0.9314768451,16.3733082
3361MV,N,42.66127606,0.3873522145,1.717863827,15.37688182
3361MV,S,52.75937096,0.03154108129,0.5498062968,1.929758073
3364OT,E,40.53067471,0.1265793465,0.952033894,6.357638678
3364OT,N,61.96724788,0.2606755915,1.319033971,13.70483426
3364OT,S,55.13153927,0.03100434618,0.6766722138,1.562360292
337,E,8.883094812,0.1433174525,1.243122168,0.9709167872
337,N,2.293837685,0.2574636152,1.867025651,0.6245671786
337,S,10.68697826,0.03061336847,0.6118179262,0.1412439024
339,E,33.09627379,0.1474481818,1.052076597,5.120468208
339,N,28.32608025,0.2145522023,1.261188718,6.823815861
339,S,32.31551226,0.03083659209,0.7177208942,0.9253775149
