famiglia,vincoli_con_duale_non_nullo
accumulazione,1828
banda_import,692
bilancio,710
capacita,392
import_totale,10
lavoro,10
o2,630
quote,710
regola_inv_min,40
scorte,110
scorte_minime,73
terminale,1
terminale_scorte,5
