,phi_R
111CA,0
113FF,0
211,0
212,0
213,0
22,0
23,0.7229889097
321,0.005715010934
327,0
331,0
332,0
333,0
334,0.0005135114027
335,0.01060801312
3361MV,0
3364OT,0
337,0.0008649640737
339,0
311FT,0
313TT,0.0007321930647
315AL,0
322,0
323,0
324,0
325,0
326,5.857544517e-05
42,0.004194001874
441,5.857544517e-06
445,1.171508903e-05
452,0.0003026398001
4A0,0.00934083099
481,5.857544517e-06
482,5.857544517e-05
483,0
484,0.001704545455
485,0
486,0
487OS,0
493,0
511,0
512,0
513,0
514,0
521CI,0
523,0
524,0.01192010309
525,0
HS,0
ORE,0.2042838176
532RL,0
5411,0.02458020931
5415,0
5412OP,0.002110668541
55,0
561,0
562,0
61,0
621,0
622,0
623,0
624,0
711AS,0
713,0
721,0
722,0
81,0
GFGD,0
GFGN,0
GFE,0
GSLG,0
GSLE,0
