riga,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
4,0,0,0,0,0,0,0,0,0,0,0,0,0.4949108518,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1825952139,0.02772181941,0.000305560929,0.003184885067,0.04970066033,7.938572481e-05,0.0006588590637,2.122612963e-06,0.00429340924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2365472319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0.5961321088,0.002719886966,0,0.002967149417,0,0,0,0,0,0,0,0,0,0,0.2520929,0.006417186079,7.07327795e-05,0.0007372532018,0.01150495864,9.609431676e-05,0.0007975314418,2.569366758e-06,0.005197058142,0,0,0,0,0,0,0.06359060403,0,0,0,0,0,0,0,0,0,0,0.0576739668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0.3266971509,0,0,0,0.003224293587,0.3602063548,0,0,0,0,0,0,0,0,0.2440028139,0,0,0,0,0.000116490607,0.0009668097437,3.114722112e-06,0.006300148417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05848282331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0.8124296963,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101799775,0,0,0,0,0.0002725017796,0.002261619048,7.286143839e-06,0.01473768314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06849143857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0.6286549708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1852737905,0.02117424778,0.0002333909881,0.002432652222,0.03796194186,0.0002661971536,0.002209294023,7.117570951e-06,0.01439671076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1073896863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0.2946509519,0.1987760653,0,0,0,0,0.0004533091568,0,0,0,0,0,0,0,0,0.1810970082,0.07493688469,0.0008259841738,0.008609296581,0.1343495027,0.0001572771555,0.001305316285,4.205271537e-06,0.008506002738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09632819583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0.01634245087,0,0,0,0,0,0,0.6169645502,0.002271156315,0,0,0,0,0.0004443566703,0,0,0,0,0,0,0,0.1658437839,0,0.1276291103,0,0,0,0,0.0002974411356,0.002468602366,7.952971539e-06,0.01608647553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05164411968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0.7700295666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1514386673,0.001260060755,1.388889124e-05,0.0001447649818,0.002259081579,0.0003309473795,0.002746686273,8.848860415e-06,0.01789858996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05386889738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0.7764672932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1526420614,0,0,0,0,0.0003298017509,0.002737178168,8.818228633e-06,0.01783663106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04997821622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0.001807927899,0.6743301222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003777759788,0.1389136242,0,0,0,0,0.0002902278949,0.002408736325,7.760104141e-06,0.01569636265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1627674789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
