famiglia,vincoli_con_duale_non_nullo
accumulazione,704
banda_import,338
bilancio,355
capacita,182
import_totale,5
lavoro,5
o2,315
quote,355
scorte,55
scorte_minime,38
terminale,1
terminale_scorte,6
var_inv,19
